,yuv,framenos,content,ref
373,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
374,CIND-00h13m44s_res600_mu800_sigma50_rate831_aqOff.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
375,BTFB-01h12m21s_res1080_mu500_sigma100_rate269_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
376,HZLN_res600_mu800_sigma200_rate667_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
377,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
378,MOLV-102_res2160_mu1000_sigma100_rate1035_aqOn.yuv,190,MOLV-102,MOLV-102_res2160_mu100000_sigma0_rate100000_aqOn.yuv
379,BTFB-01h12m21s_res2160_mu1000_sigma100_rate922_aqOn.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
380,BTFB-00h33m50s_res2160_mu1000_sigma100_rate1009_aqOn.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
381,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
382,MSPY-2_res1080_mu500_sigma100_rate614_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
383,EplJuvVsRma-night1_res1080_mu500_sigma100_rate534_aqOn.yuv,198,EplJuvVsRma-night1,EplJuvVsRma-night1_res2160_mu100000_sigma0_rate100000_aqOn.yuv
384,MSPY-2_res720_mu1500_sigma300_rate1778_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
385,CHMA-302_res2160_mu3000_sigma300_rate3401_aqOn.yuv,198,CHMA-302,CHMA-302_res2160_mu100000_sigma0_rate100000_aqOn.yuv
386,CIND-00h13m44s_res2160_mu3000_sigma300_rate2750_aqOn.yuv,190,CIND-00h13m44s,CIND-00h13m44s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
387,CHEM_res600_mu800_sigma200_rate630_aqOn.yuv,190,CHEM,CHEM_res2160_mu100000_sigma0_rate100000_aqOn.yuv
388,BTFB-01h12m21s_res1080_mu1200_sigma100_rate1238_aqOff.yuv,190,BTFB-01h12m21s,BTFB-01h12m21s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
389,BTFB-01h41m55s_res1080_mu5400_sigma300_rate5685_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
390,CHMA-101_res1080_mu1200_sigma100_rate1219_aqOn.yuv,190,CHMA-101,CHMA-101_res2160_mu100000_sigma0_rate100000_aqOn.yuv
391,HERO-00h01m57s_res1080_mu1200_sigma100_rate1171_aqOn.yuv,178,HERO-00h01m57s,HERO-00h01m57s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
392,BTFB-01h41m55s_res1080_mu1200_sigma100_rate1459_aqOn.yuv,190,BTFB-01h41m55s,BTFB-01h41m55s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
393,BTFB-00h33m50s_res600_mu800_sigma50_rate884_aqOff.yuv,158,BTFB-00h33m50s,BTFB-00h33m50s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
394,MRSM-301_res720_mu1500_sigma300_rate1542_aqOn.yuv,190,MRSM-301,MRSM-301_res2160_mu100000_sigma0_rate100000_aqOn.yuv
395,CHMA-402_res720_mu1500_sigma300_rate1248_aqOn.yuv,198,CHMA-402,CHMA-402_res2160_mu100000_sigma0_rate100000_aqOn.yuv
396,BTFB-01h05m40s_res600_mu800_sigma50_rate779_aqOn.yuv,190,BTFB-01h05m40s,BTFB-01h05m40s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
397,MSPY-2_res600_mu800_sigma200_rate839_aqOn.yuv,189,MSPY-2,MSPY-2_res2160_mu100000_sigma0_rate100000_aqOn.yuv
398,BTFB-01h12m33s_res1080_mu500_sigma100_rate541_aqOn.yuv,191,BTFB-01h12m33s,BTFB-01h12m33s_res2160_mu100000_sigma0_rate100000_aqOn.yuv
399,HZLN_res2160_mu11200_sigma300_rate11150_aqOn.yuv,190,HZLN,HZLN_res2160_mu100000_sigma0_rate100000_aqOn.yuv
